9SIA4RE4TS1058,23-114-059,14
N82E16823114066,23-114-066,4
N82E16823828005,23-828-005,4
9SIA1PK3RC5458,0GA-0029-00061,4
9SIA0U01ER4800,0GA-0002-000G7,5
9SIA0U038R1461,0GA-0002-000R6,5
9SIA1N842V6444,2RC-00K8-00001,5
9SIA4RE5087507,23-300-009,5
9SIA8T24642404,0GA-000Z-00022,5
9SIA11P1JB1914,0GA-0023-00006,5
9SIABW94WJ8809,23-306-013,6
9SIA2J22CA1189,0GA-0038-00056,5
9SIA4RE4TZ2154,23-239-010,5
9SIA26R27N0512,0GA-002E-00011,5
9SIA9PV5AX6390,23-114-069,5
9SIA2F85AW5350,23-951-003,5
9SIAASP40M2486,0GA-003C-000Y5,5
N82E16823141041,23-141-041,5
9SIA2F84889287,0GA-0041-00003,4
9SIA6YZ2MX1496,0GA-00GJ-00007,5
N82E16823193022,23-193-022,5
9SIA1K646N7359,23-129-046,5
N82E16823126446,23-126-446,0
N82E16823114064,23-114-064,5
N82E16823828012,23-828-012,5
N82E16823225015,23-225-015,6
N82E16823828011,23-828-011,5
9SIA26R11R2218,0GA-002H-00002,6
9SIA0AJ2J28222,23-794-001,6
9SIA6BM2MG4957,32N-0001-00002,6
9SIA4RE5087138,23-300-001,6
9SIA4RE26X6232,0GA-00CM-00002,6
9SIABD54BJ2996,23-567-004,6
9SIABD549U1318,23-567-009,6
9SIABD54BJ2986,23-567-011,6
9SIAB2753Y7841,23-816-072,6
N82E16823201097,23-201-097,6
N82E16823828014,23-828-014,6
9SIA4RE2VG8359,0GA-00CM-00017,6
9SIA4M55240383,23-436-021,6
N82E16823828010,23-828-010,7
9SIA2F84139556,23-114-061,7
N82E16823816081,23-816-081,6
N82E16823816037,23-816-037,6
N82E16823828007,23-828-007,9
9SIA4RE2KJ7974,0GA-00CM-00004,7
9SIA4RE5528382,0GA-00DC-00023,7
9SIA4M55243288,23-436-009,7
N82E16823436010,23-436-010,7
9SIA66T3MZ1252,23-114-047,7
9SIA9JN55C3978,0GA-003V-00023,7
N82E16823816049,23-816-049,7
N82E16823816064,23-816-064,7
9SIA4RE2X62363,0GA-000Z-00009,8
9SIA1N842V6496,23-436-006,8
9SIA9K85941822,23-114-054,8
9SIABD54BJ2987,23-567-006,8
9SIA4RE4NS9978,32N-0003-00003,8
