N82E16811147183,11-147-183,104
9SIA2F84D68943,11-139-060,48
9SIA0ZX57D0975,11-146-098,48
9SIA0723W13278,11-147-248,49
N82E16811854028,11-854-028,48
N82E16811353088,11-353-088,48
9SIA0ZX57D1139,11-235-036,49
N82E16811353063,11-353-063,50
N82E16811353073,11-353-073,49
9SIA9FT3GT2418,11-235-035,50
N82E16811154085,11-154-085,50
9SIA4CP1GG2310,11-345-030,51
N82E16811235034,11-235-034,50
N82E16811112331,11-112-331,51
N82E16811353001,11-353-001,51
N82E16811517019,11-517-019,52
9SIA2F84D68845,11-108-428,52
N82E16811352051,11-352-051,53
N82E16811353072,11-353-072,54
9SIA2F84D68911,11-139-044,53
N82E16811154110,11-154-110,54
N82E16811853013,11-853-013,55
N82E16811163121,11-163-121,56
9SIA2F84D69007,11-133-253,56
N82E16811154079,11-154-079,56
N82E16811854001,11-854-001,56
N82E16811139054,11-139-054,56
N82E16811146218,11-146-218,57
N82E16811146181,11-146-181,57
N82E16811146097,11-146-097,58
9SIA2F84D69192,11-139-057,57
N82E16811147244,11-147-244,58
9SIA0AJ2MX1780,11-156-251,58
N82E16811129174,11-129-174,58
9SIA2F84D68892,11-129-086,57
N82E16811108396,11-108-396,58
N82E16811156300,11-156-300,58
N82E16811147238,11-147-238,59
N82E16811148067,11-148-067,60
N82E16811139055,11-139-055,62
9SIA3912D88094,11-144-267,61
N82E16811108433,11-108-433,63
N82E16811146217,11-146-217,62
N82E16811853017,11-853-017,62
N82E16811146197,11-146-197,63
N82E16811156287,11-156-287,64
N82E16811146178,11-146-178,64
N82E16811121124,11-121-124,64
N82E16811112287,11-112-287,64
N82E16811553009,11-553-009,65
N82E16811133212,11-133-212,65
N82E16811139027,11-139-027,66
N82E16811119306,11-119-306,66
N82E16811147232,11-147-232,67
N82E16811139029,11-139-029,67
N82E16811139049,11-139-049,67
9SIA7252PB7007,11-156-296,69
N82E16811146069,11-146-069,69
N82E16811147226,11-147-226,69
N82E16811853004,11-853-004,69
N82E16811119277,11-119-277,69
N82E16811139045,11-139-045,70
9SIA2F84D69156,11-129-039,76
N82E16811853012,11-853-012,77
N82E16811208059,11-208-059,77
N82E16811208052,11-208-052,77
N82E16811352047,11-352-047,78
N82E16811353026,11-353-026,79
9SIA6ZP3N68493,11-124-156,81
N82E16811353002,11-353-002,81
N82E16811139048,11-139-048,76
N82E16811139016,11-139-016,75
N82E16811353062,11-353-062,72
N82E16811108434,11-108-434,82
N82E16811146198,11-146-198,84
N82E16811517020,11-517-020,85
N82E16811139021,11-139-021,85
N82E16811353056,11-353-056,85
9SIA24G28M7623,11-129-080,87
9SIABD552C9360,11-121-010,88
N82E16811108127,11-108-127,73
N82E16811139032,11-139-032,89
9SIA0AJ3NH2515,11-133-223,89
N82E16811147185,11-147-185,90
N82E16811147184,11-147-184,90
N82E16811112339,11-112-339,91
9SIA0ZX57D1084,11-345-017,93
N82E16811854006,11-854-006,94
N82E16811133196,11-133-196,95
9SIA0ZX57D1182,11-146-105,95
N82E16811352049,11-352-049,95
9SIA0ZX1VZ8143,11-108-092,97
N82E16811144224,11-144-224,97
9SIA0ZX57D0974,11-146-093,96
N82E16811119299,11-119-299,102
N82E16811353061,11-353-061,102
N82E16811139038,11-139-038,103
9SIA0ZX57D0997,11-108-196,104
9SIA4RE4SK0077,11-163-112,112
N82E16811553002,11-553-002,112
9SIA2F83XY6812,11-108-065,114
9SIA0ZX57D1159,11-146-085,114
N82E16811352055,11-352-055,121
N82E16811353055,11-353-055,122
N82E16811352032,11-352-032,127
N82E16811163182,11-163-182,129
N82E16811133274,11-133-274,132
N82E16811133260,11-133-260,131
N82E16811139033,11-139-033,133
9SIA2F84D69348,11-129-181,133
N82E16811147161,11-147-161,135
N82E16811108422,11-108-422,116
N82E16811853003,11-853-003,121
N82E16811139040,11-139-040,121
9SIA0ZX57D1008,11-154-052,139
9SIA0ZX57D0944,11-345-016,141
9SIA6ZP3KS9453,11-139-019,141
N82E16811133179,11-133-179,145
N82E16811146190,11-146-190,148
N82E16811352011,11-352-011,149
N82E16811119297,11-119-297,155
N82E16811352027,11-352-027,158
N82E16811146074,11-146-074,158
9SIA0AJ34B2655,11-148-044,165
9SIA0AJ35P3112,11-129-187,165
N82E16811553011,11-553-011,167
N82E16811148047,11-148-047,167
9SIA2F84D69472,11-119-263,170
9SIA2F81NH2708,11-129-180,168
9SIA0AJ4N10394,11-146-189,172
N82E16811139042,11-139-042,181
N82E16811147131,11-147-131,185
N82E16811352031,11-352-031,187
9SIA85V4S96777,11-146-076,199
9SIA1N83ZP7361,11-119-286,202
N82E16811147166,11-147-166,201
N82E16811133244,11-133-244,204
N82E16811352048,11-352-048,208
N82E16811147160,11-147-160,210
9SIA2F84D69430,11-119-256,215
N82E16811133194,11-133-194,216
9SIA0AJ42U0641,11-139-012,221
N82E16811853002,11-853-002,224
N82E16811139041,11-139-041,233
9SIA0723W13281,11-147-122,241
N82E16811119274,11-119-274,246
9SIA6ZP3K29949,11-119-252,251
N82E16811146087,11-146-087,258
9SIA6ZP3KN8541,11-133-192,264
9SIA2F84D69342,11-139-011,265
N82E16811139013,11-139-013,269
N82E16811154098,11-154-098,273
N82E16811854003,11-854-003,283
N82E16811121002,11-121-002,283
N82E16811139015,11-139-015,287
9SIA85V3VZ8462,11-148-046,292
N82E16811352021,11-352-021,300
N82E16811154095,11-154-095,305
N82E16811147159,11-147-159,307
N82E16811147157,11-147-157,315
N82E16811147158,11-147-158,340
N82E16811139024,11-139-024,345
N82E16811139022,11-139-022,348
N82E16811147123,11-147-123,383
9SIA2F84D69451,11-133-188,397
N82E16811119260,11-119-260,398
N82E16811139009,11-139-009,418
9SIA2F84D69150,11-139-008,423
N82E16811147098,11-147-098,456
N82E16811154091,11-154-091,478
9SIA6ZP3PB1519,11-129-100,509
N82E16811133191,11-133-191,512
N82E16811352020,11-352-020,511
9SIA2F84D69435,11-119-265,522
N82E16811146068,11-146-068,513
N82E16811139010,11-139-010,526
N82E16811139005,11-139-005,522
9SIA2F84D68944,11-139-018,538
9SIA2F84D69453,11-133-094,577
N82E16811517004,11-517-004,587
N82E16811147099,11-147-099,609
N82E16811147023,11-147-023,756
N82E16811146067,11-146-067,806
9SIA6ZP3KT7106,11-129-024,906
N82E16811147053,11-147-053,949
N82E16811147107,11-147-107,986
