ASIN,AMAZON_RATING_1,AMAZON_RATING_2,AMAZON_RATING_3,AMAZON_RATING_4,AMAZON_RATING_5,AMAZON_RATING_AVG
['B00EIQTKAS'],10,3,5,15,67,4.26
['B00ELNG49I'],11,5,11,19,54,4.0
['B00EM71W1S'],19,11,10,17,43,3.54
['B00EMHM6JK'],0,0,4,0,96,4.92
['B00EO6X4XG'],12,6,8,15,59,4.029999999999999
['B00EON40CS'],6,2,3,11,78,4.53
['B00EOTYZOA'],2,0,4,5,89,4.79
['B00EOUFEG2'],0,0,0,11,89,4.890000000000001
['B00EPGKA4G'],0,0,0,50,50,4.5
['B00ESUIX4S'],7,2,2,12,77,4.5
['B00EUUKVXM'],1,0,2,11,86,4.81
['B00EUUN76U'],4,0,0,11,85,4.73
['B00EUVMICS'],0,0,0,0,100,5.0
['B00EUZVNHU'],2,1,5,26,66,4.53
['B00EVVNMQI'],4,4,11,19,62,4.3100000000000005
['B00EWEHI5K'],13,10,12,14,51,3.8
['B00EXK14S0'],24,7,6,12,51,3.59
['B00EXK14S0'],24,7,6,12,51,3.59
['B00EXPNG5Y'],2,2,3,8,85,4.72
['B00EXXOU06'],5,2,7,12,74,4.48
['B00EYCBGNA'],0,0,25,0,75,4.5
['B00EYKSJ1E'],8,8,8,4,72,4.239999999999999
['B00F4J5D9K'],9,4,5,17,65,4.25
['B00F8AFMDC'],7,10,2,11,70,4.2700000000000005
['B00FAN4NKK'],13,6,10,20,51,3.9
['B00FB45SI4'],12,4,5,11,68,4.19
['B00FB4BUMW'],13,9,10,15,53,3.8600000000000003
['B00FH1B0G0'],0,0,6,7,87,4.81
['B00FJRS5BA'],7,2,6,10,75,4.44
['B00FJRS628'],5,3,7,15,70,4.42
['B00FJRS6FU'],5,1,3,11,80,4.6
['B00FMWMKZE'],0,0,10,20,70,4.6000000000000005
['B00FO5UZC4'],6,3,7,7,77,4.46
['B00FOW7LBU'],0,0,0,0,0,0.0
['B00FSAHJ24'],6,9,20,14,51,3.95
['B00FU829ZQ'],8,2,6,11,73,4.39
['B00FU829ZQ'],8,2,6,11,73,4.39
['B00FYWCL2E'],8,14,19,24,35,3.6400000000000006
['B00G3NPBAW'],3,0,0,13,84,4.75
['B00G5SSERC'],4,0,0,5,91,4.79
['B00GE97LKI'],14,3,6,9,68,4.140000000000001
['B00GTZPO5Q'],0,0,0,0,100,5.0
['B00GXFJPEI'],0,0,0,0,100,5.0
['B00H4XH586'],11,3,3,12,71,4.29
['B00H7Z7XA6'],1,3,3,16,77,4.65
['B00HEASH18'],10,2,5,17,66,4.2700000000000005
['B00HEMAI04'],0,0,0,0,0,0.0
['B00HEX9JSK'],6,7,8,20,59,4.1899999999999995
['B00HPX7J4K'],3,6,9,15,67,4.37
['B00HQRCGPC'],0,0,0,0,100,5.0
['B00HQRK6D6'],0,0,0,0,0,0.0
['B00HQXUFYA'],23,4,5,14,54,3.72
['B00HRG01A4'],7,4,5,16,68,4.340000000000001
['B00HRG01A4'],7,4,5,16,68,4.340000000000001
['B00HTK1NCS'],6,4,7,17,66,4.33
['B00HU7C7Q6'],24,3,5,13,55,3.7199999999999998
['B00HV6V5NC'],4,4,8,8,76,4.4799999999999995
['B00HVT27B8'],4,3,5,15,73,4.5
['B00HZE2PJS'],13,9,8,16,54,3.89
['B00I3DOZEI'],10,6,8,20,56,4.0600000000000005
['B00I6DLKCA'],21,8,5,5,61,3.7699999999999996
['B00I7EM752'],7,6,3,13,71,4.35
['B00IAQ55ZG'],10,9,6,14,61,4.07
['B00IE5C6LO'],22,11,13,14,40,3.39
['B00IEG4H1K'],13,6,6,11,64,4.07
['B00IEG4H1K'],13,6,6,11,64,4.07
['B00IF0JAIU'],15,6,6,18,55,3.92
['B00IG3GPTS'],11,7,6,12,64,4.11
['B00IGL3L2E'],17,6,11,12,54,3.8000000000000003
['B00IGL3L2E'],17,6,11,12,54,3.8000000000000003
['B00IIDD0ZS'],5,5,4,13,73,4.4399999999999995
['B00IJ44K32'],0,0,0,50,50,4.5
['B00IJYGIU0'],31,7,10,12,40,3.23
['B00ILHBWK6'],0,0,0,0,0,0.0
['B00IOMFAJC'],0,0,0,0,100,5.0
['B00IOMFFYM'],0,0,14,9,77,4.63
['B00IRHE892'],4,4,7,14,71,4.4399999999999995
['B00IRHE892'],4,4,7,14,71,4.4399999999999995
['B00IRUS7KU'],4,3,6,18,69,4.45
['B00IRV005E'],11,6,3,10,70,4.220000000000001
['B00IS8Q050'],22,0,11,11,56,3.79
['B00ITI04YM'],17,10,7,15,51,3.73
['B00IUQRPQS'],9,3,6,11,71,4.32
['B00IXCQOAC'],33,0,0,33,34,3.3500000000000005
['B00J0NZ7WO'],4,4,9,29,54,4.25
['B00J2LIE24'],20,0,0,0,80,4.2
['B00J2LIE8I'],0,0,20,10,70,4.5
['B00J2LIE9C'],2,0,4,11,83,4.73
['B00J2LIFBY'],2,1,2,10,85,4.75
['B00J2LIFDC'],0,0,0,19,81,4.8100000000000005
['B00J2Z6TT0'],0,0,0,0,0,0.0
['B00J56YSLM'],3,1,3,7,86,4.72
['B00J60TMRW'],27,0,5,32,36,3.5
['B00J63KSJA'],0,0,0,20,80,4.8
['B00J63KSJA'],0,0,0,20,80,4.8
['B00J63LFTW'],7,0,21,22,50,4.08
['B00J63LFTW'],7,0,21,22,50,4.08
['B00J6F5LR2'],3,0,0,13,84,4.75
['B00J8NCVX4'],10,6,4,15,65,4.1899999999999995
['B00J9RAVL8'],0,0,0,0,0,0.0
['B00JAEXGU8'],6,3,6,13,72,4.42
['B00JIJUBAS'],2,0,2,10,86,4.78
['B00JJ4ZZW6'],0,0,0,0,100,5.0
['B00JJNOM5S'],4,0,21,21,54,4.21
['B00JN1TY9U'],18,3,6,15,58,3.92
['B00JOJGRY6'],0,0,0,0,0,0.0
['B00JPRWVCE'],0,0,0,0,0,0.0
['B00JPZTD68'],4,4,6,14,72,4.46
['B00JST2QEW'],2,0,2,12,84,4.76
['B00JXM9KMU'],12,0,0,13,75,4.39
['B00JZE9O04'],0,0,0,0,0,0.0
['B00K2CNTB8'],0,0,0,0,100,5.0
['B00K2R69PQ'],15,0,15,12,58,3.98
['B00K2RQAQY'],12,10,5,11,62,4.01
['B00K3EPYP4'],9,3,4,11,73,4.359999999999999
['B00K5J228Y'],0,0,0,0,0,0.0
['B00K5OJ0TS'],0,0,0,0,0,0.0
['B00K5UZP2S'],9,6,7,14,64,4.180000000000001
['B00K6S1B3Q'],2,1,3,11,83,4.720000000000001
['B00K85X2AW'],5,2,2,7,84,4.63
['B00KDG48CC'],12,0,0,13,75,4.39
['B00KFBX9XY'],7,3,8,20,62,4.27
['B00KLOVW2A'],0,0,0,0,100,5.0
['B00KN16S16'],17,3,20,27,33,3.5600000000000005
['B00KPRWAZQ'],2,1,3,11,83,4.720000000000001
['B00KPRWB9G'],1,0,1,7,91,4.87
['B00KQCOV5C'],2,1,1,7,89,4.8
['B00KTUVR44'],10,3,5,12,70,4.290000000000001
['B00KU686HI'],11,4,3,12,70,4.260000000000001
['B00KY0X7QK'],0,0,0,0,0,0.0
['B00KY0X7QK'],0,0,0,0,0,0.0
['B00L4HWY3E'],18,7,6,18,51,3.7699999999999996
['B00L6M1H1C'],6,3,4,13,74,4.46
['B00L8KMM5M'],8,8,7,13,64,4.17
['B00LA6WXEO'],4,2,9,21,64,4.390000000000001
['B00LA6ZLGQ'],3,3,4,16,74,4.55
['B00LA6ZLGQ'],3,3,4,16,74,4.55
['B00LEA5EHO'],8,1,11,13,67,4.3
['B00LEA5EJM'],22,12,10,15,41,3.41
['B00LEH3LT0'],0,0,100,0,0,3.0
['B00LEH3LZE'],0,0,0,0,0,0.0
['B00LGNFBHM'],20,10,0,20,50,3.7
['B00LGNFBHM'],20,10,0,20,50,3.7
['B00LI9ML0E'],22,7,8,17,46,3.58
['B00LN0P5Q0'],9,2,3,14,72,4.38
['B00LPTZU9Q'],50,0,0,25,25,2.75
['B00LSRW3U4'],6,3,10,18,63,4.29
['B00LUH17XG'],0,4,4,16,76,4.64
['B00LUH1N4O'],3,2,2,10,83,4.680000000000001
['B00LV8TZAG'],13,5,9,18,55,3.9699999999999998
['B00LV8U0VE'],1,0,1,8,90,4.86
['B00LV8U2C6'],0,0,0,0,100,5.0
['B00LZS5EEI'],15,6,6,15,58,3.95
['B00LZVNWIA'],4,5,6,18,67,4.390000000000001
['B00LZVOOEQ'],11,0,21,21,47,3.93
['B00M1VICH4'],6,2,3,12,77,4.52
['B00M1XEQVI'],16,5,5,10,64,4.01
['B00M1XEQVI'],16,5,5,10,64,4.01
['B00M5DUJQ0'],3,2,4,14,77,4.6
['B00M5DUOBK'],7,6,4,15,68,4.3100000000000005
['B00MBE1WOG'],14,4,5,16,61,4.06
['B00MG3Q5U8'],21,11,5,13,50,3.6
['B00MHTF1MO'],19,20,12,15,34,3.25
['B00MHTF1OC'],7,11,8,15,59,4.08
['B00MHY9JHC'],16,3,0,23,58,4.04
['B00MMLXIHM'],4,1,1,9,85,4.7
['B00MMLXIKY'],2,1,1,8,88,4.79
['B00MMLXMM8'],2,0,5,7,86,4.75
['B00MNK34VM'],18,5,6,15,56,3.8600000000000003
['B00MNK34VM'],18,5,6,15,56,3.8600000000000003
['B00MNOPS1W'],16,8,11,22,43,3.6799999999999997
['B00MPI5N7U'],20,7,6,11,56,3.7600000000000002
['B00MRVJY5C'],21,8,8,10,53,3.66
['B00MRVJYEI'],17,7,6,16,54,3.83
['B00MSOIUOO'],10,8,9,15,58,4.029999999999999
['B00MU00HGK'],2,2,6,17,73,4.57
['B00MU00IOQ'],5,3,6,16,70,4.430000000000001
['B00MUTWEM6'],1,4,2,9,84,4.71
['B00MWDYDOC'],11,7,7,17,58,4.04
['B00MYTSDU4'],8,6,6,12,68,4.260000000000001
['B00MYTSDU4'],8,6,6,12,68,4.260000000000001
['B00MYTSDU4'],8,6,6,12,68,4.260000000000001
['B00MYTSDU4'],8,6,6,12,68,4.260000000000001
['B00N1O4RRY'],17,0,0,17,66,4.15
['B00N1Q2DXM'],0,0,40,40,20,3.8000000000000003
['B00N2A0FU0'],0,0,100,0,0,3.0
['B00N2ROO2S'],4,3,7,18,68,4.430000000000001
['B00N2S6ZUQ'],6,2,2,11,79,4.55
['B00N517VDK'],19,5,7,15,54,3.8000000000000003
['B00N5J2OP2'],0,0,0,0,100,5.0
['B00N93QXIS'],0,0,0,0,0,0.0
['B00NAWEFGU'],12,3,8,10,67,4.17
['B00NBMHYC6'],4,2,7,23,64,4.41
['B00NFOD58M'],4,0,5,23,68,4.510000000000001
['B00NNQDXRK'],5,7,16,21,51,4.06
['B00NNQG0N4'],9,12,11,18,50,3.88
['B00NQ1CLTI'],7,3,4,13,73,4.42
['B00O1R5X4G'],0,0,0,0,0,0.0
['B00O1R5X4G'],0,0,0,0,0,0.0
['B00OBRE5UE'],3,1,2,7,87,4.739999999999999
['B00ODEGWN8'],7,2,4,9,78,4.49
['B00ODEGWN8'],7,2,4,9,78,4.49
['B00OHJY7C2'],10,5,10,21,54,4.04
['B00OKD3FVO'],19,2,10,17,52,3.81
['B00ON7AX3U'],20,11,9,15,45,3.54
['B00ORGM63C'],18,9,9,37,27,3.46
['B00OVALJ0U'],1,0,7,15,77,4.67
['B00P7TPYDM'],0,1,1,10,88,4.8500000000000005
['B00P9G3570'],0,0,0,0,0,0.0
['B00P9WK6NK'],1,0,1,7,91,4.87
['B00PNHDQFG'],0,0,0,0,100,5.0
['B00PNKJLBG'],0,20,20,0,60,4.0
['B00PVDO8YK'],20,14,4,25,37,3.45
['B00PWUI7JY'],0,0,0,0,0,0.0
['B00PY0KAGU'],0,0,50,0,50,4.0
['B00PZ9OT4Y'],0,0,0,0,0,0.0
['B00PZX26NQ'],23,8,8,0,61,3.6799999999999997
['B00Q3BDOM6'],3,3,4,7,83,4.640000000000001
['B00Q6FVL0Q'],0,14,0,29,57,4.290000000000001
['B00Q6QLKKG'],0,0,0,0,0,0.0
['B00QCEWTAW'],1,1,1,3,94,4.88
['B00QD530AI'],25,8,6,14,47,3.5
['B00QR6UR2W'],16,9,11,16,48,3.71
['B00R7FHZXQ'],0,0,0,0,0,0.0
['B00RDLA9VO'],6,3,6,17,68,4.380000000000001
['B00RORBQNW'],2,2,7,21,68,4.51
['B00RQJRXMQ'],11,4,5,10,70,4.24
['B00S74JAHK'],15,5,5,16,59,3.9899999999999998
['B00S74JAHK'],15,5,5,16,59,3.9899999999999998
['B00S7YA5FQ'],3,1,3,12,81,4.670000000000001
['B00S9SGNNS'],12,7,7,12,62,4.05
['B00SAYCFF6'],12,6,14,25,43,3.81
['B00SQ61Q9O'],0,0,0,0,0,0.0
['B00STQYFIU'],25,5,6,16,48,3.57
['B00SV72Y3A'],10,5,9,23,53,4.040000000000001
['B00SV72ZA2'],25,8,10,19,38,3.37
['B00T7XTT6C'],8,5,7,19,61,4.199999999999999
['B00T7XTT6C'],8,5,7,19,61,4.199999999999999
['B00TBHYYFK'],0,1,3,7,89,4.84
['B00TCU295S'],13,7,6,17,57,3.9800000000000004
['B00TFVTE9I'],0,0,0,50,50,4.5
['B00TKFCYP0'],5,2,4,14,75,4.52
['B00TKFD51M'],4,3,4,16,73,4.51
['B00TQIT1W0'],14,0,14,0,72,4.16
['B00TR8YL4W'],2,0,0,14,84,4.78
['B00TVACKEE'],16,5,6,17,56,3.9200000000000004
['B00TVACKEE'],16,5,6,17,56,3.9200000000000004
['B00UBQZPXK'],5,4,7,13,71,4.41
['B00UF2X5S2'],0,0,0,20,80,4.8
['B00UJGGFZY'],0,0,4,4,92,4.880000000000001
['B00UMPAESG'],0,0,0,0,0,0.0
['B00UOYQA74'],3,3,9,25,60,4.359999999999999
['B00UVN21DK'],19,4,5,14,58,3.88
['B00V53AFYW'],0,0,8,25,67,4.59
['B00VB3Y89E'],0,1,4,9,86,4.8
['B00VDWJZAU'],0,0,0,0,100,5.0
['B00VGNUKXM'],9,0,9,27,55,4.1899999999999995
['B00VHKZ6I8'],3,0,2,8,87,4.76
['B00VJBFLIA'],0,0,0,0,100,5.0
['B00VTFA2QM'],8,0,15,15,62,4.23
['B00VX1GGWQ'],7,2,6,19,66,4.3500000000000005
['B00W0Z7BX2'],18,0,11,7,64,3.99
['B00W4TREZO'],0,0,0,0,100,5.0
['B00W8XXYN2'],9,2,3,11,75,4.41
['B00W8XXYSM'],8,2,2,12,76,4.46
['B00W8XY7AQ'],7,2,3,11,77,4.49
['B00WG3REOY'],5,7,2,21,65,4.34
['B00XI3RRQG'],2,0,6,17,75,4.63
['B00XJKH67I'],23,4,5,9,59,3.7699999999999996
['B00XJMQDUM'],10,10,0,10,70,4.2
['B00XREKIJE'],10,1,2,9,78,4.44
['B00XUVGLEU'],0,0,1,3,96,4.95
['B00Y1AJLS2'],4,1,5,13,77,4.58
['B00YAEA0U2'],27,8,4,19,42,3.41
['B00YDFZSW8'],25,0,0,0,75,4.0
['B00YJJBFIO'],3,3,6,15,73,4.52
['B00ZUCOHIE'],0,0,0,0,0,0.0
['B01065S79E'],3,1,3,9,84,4.7
['B0107965ES'],1,1,8,16,74,4.61
['B010HWDOH6'],5,2,1,5,87,4.67
['B010T6CG7E'],2,2,2,13,81,4.69
['B010T6CWI2'],1,1,1,9,88,4.82
['B0126R1XNM'],25,6,8,10,51,3.5599999999999996
['B012IAKHCK'],26,9,9,13,43,3.38
['B012M8LXQW'],2,1,2,6,89,4.79
['B012M8M7TY'],1,1,2,8,88,4.8100000000000005
['B0136JONG8'],3,0,4,5,88,4.75
['B0136JONRM'],0,2,2,12,84,4.78
['B013ALA9LA'],10,6,8,10,66,4.16
['B013J7L6BM'],0,5,0,0,95,4.85
['B013J7T5K6'],2,2,0,11,85,4.75
['B013KK9JOO'],20,9,12,15,44,3.54
['B013SKIBL8'],11,5,4,16,64,4.17
['B013SKIC7G'],11,3,4,12,70,4.2700000000000005
['B013SKICA8'],14,4,5,16,61,4.06
['B013SKICPI'],10,0,0,25,65,4.35
['B013U542QE'],0,5,11,16,68,4.470000000000001
['B0149QBRCA'],8,8,6,17,61,4.15
['B014CSKE7E'],12,7,7,16,58,4.01
['B014CSKEQU'],11,4,9,12,64,4.140000000000001
['B014CSKF50'],15,1,8,17,59,4.04
['B014CSKF64'],14,2,5,16,63,4.12
['B014LE6A6I'],22,9,12,14,43,3.4699999999999998
['B014MIBLSA'],15,6,6,14,59,3.96
['B014R8JRRW'],3,0,2,6,89,4.78
['B014R8NNZY'],33,0,17,8,42,3.2600000000000002
['B014W1YRY2'],2,7,6,18,67,4.41
['B014W3FHTE'],6,6,6,20,62,4.26
['B0151PLSCC'],37,0,0,25,38,3.27
['B015401I06'],2,3,4,19,72,4.56
['B0154URN3M'],10,3,2,10,75,4.37
['B015CVEOOO'],0,0,0,7,93,4.930000000000001
['B015FY3BJ2'],0,2,7,5,86,4.75
['B015PYZ0J6'],11,5,7,19,58,4.08
['B015PYZI8E'],14,5,9,20,52,3.91
['B015RP017Y'],0,0,17,33,50,4.33
['B015SOI392'],3,3,4,8,82,4.630000000000001
['B015VPX05A'],2,1,2,9,86,4.76
['B015VPX190'],0,0,8,8,84,4.76
['B015VPX2EO'],1,0,2,10,87,4.819999999999999
['B015VPX3G6'],0,0,0,13,87,4.869999999999999
['B015VPX48I'],0,8,0,33,59,4.43
['B015WKY3FU'],10,6,8,17,59,4.09
['B015XBK5NM'],16,7,11,17,49,3.7600000000000002
['B015XEXILK'],0,0,0,14,86,4.859999999999999
['B015YE7SM4'],6,3,7,14,70,4.390000000000001
['B0160EGZH6'],0,0,0,100,0,4.0
['B01639694M'],3,2,4,8,83,4.66
['B0167HG1V6'],19,7,4,9,61,3.86
['B01682HZAQ'],13,9,4,18,56,3.95
['B016AT5WES'],11,1,7,12,69,4.2700000000000005
['B016EWKQAQ'],15,6,5,11,63,4.01
['B016IAM864'],10,4,9,22,55,4.08
['B016MGR0TE'],0,0,0,0,0,0.0
['B016WVHQ52'],23,9,9,14,45,3.49
['B016Z7NZPS'],6,0,0,6,88,4.7
['B0177GTSMA'],0,17,0,33,50,4.16
['B0177GTTB0'],7,2,5,13,73,4.43
['B0177GTTS8'],0,0,0,37,63,4.63
['B0177GTUE6'],0,0,0,8,92,4.920000000000001
['B0177GTUW8'],0,0,0,60,40,4.4
['B0177GTV9U'],2,1,6,10,81,4.670000000000001
['B01798X7D2'],2,1,2,12,83,4.73
['B0179JV1ZM'],19,9,0,10,62,3.87
['B017E0MA8S'],16,6,5,13,60,3.95
['B017HWBMJQ'],25,7,6,12,50,3.55
['B017LWQQWK'],9,8,8,11,64,4.13
['B017LWQQWK'],9,8,8,11,64,4.13
['B017NT8Q24'],4,3,3,12,78,4.57
['B017UC3NVI'],0,0,0,0,100,5.0
['B017UC3O76'],0,0,0,0,100,5.0
['B017UC3UPW'],0,0,0,8,92,4.920000000000001
['B017XPPA54'],8,4,8,27,53,4.130000000000001
['B01824JTWK'],8,2,4,13,73,4.41
['B0185ZZLWS'],60,0,0,0,40,2.6
['B0188P987E'],0,0,12,25,63,4.51
['B018AX4HEI'],10,4,4,12,70,4.28
['B018QDIO2S'],0,0,0,33,67,4.67
['B018UVBJUU'],0,0,0,0,100,5.0
['B0196LP24M'],4,4,9,14,69,4.4
['B019AAG0OU'],50,17,0,0,33,2.49
['B019EOPC8W'],19,6,6,6,63,3.88
['B019FK6PQS'],25,0,0,0,75,4.0
['B019OQJ9XE'],8,9,7,21,55,4.0600000000000005
['B019ZZBCC0'],16,8,9,24,43,3.7
['B01AGPHHUO'],0,17,0,17,66,4.32
['B01AIZW928'],13,4,9,17,57,4.010000000000001
['B01AIZXZHQ'],12,2,5,17,64,4.19
['B01AJBRVUQ'],17,0,0,0,83,4.32
['B01AOC9TG4'],16,3,3,16,62,4.05
['B01AOC9TG4'],16,3,3,16,62,4.05
['B01APA8D2G'],7,7,8,19,59,4.16
['B01ASDDREE'],0,0,14,14,72,4.58
['B01ASXHP9C'],100,0,0,0,0,1.0
['B01AT2A62K'],0,0,100,0,0,3.0
['B01AUHADDG'],13,9,5,13,60,3.98
['B01AVPBOFI'],4,5,23,36,32,3.87
['B01B2PJRN2'],0,0,50,50,0,3.5
['B01B2PJRPA'],10,0,0,20,70,4.4
['B01B9APNG0'],19,15,16,23,27,3.24
['B01BF376EI'],0,0,11,17,72,4.609999999999999
['B01BF377W4'],0,4,4,21,71,4.59
['B01BI0XAUW'],21,7,3,21,48,3.6799999999999997
['B01BIWKNAK'],5,3,5,28,59,4.33
['B01BIWL1MY'],0,0,0,0,100,5.0
['B01BIWP2PQ'],0,0,0,20,80,4.8
['B01BLHP4RO'],7,1,10,26,56,4.23
['B01BPEZ5P4'],2,0,2,15,81,4.73
['B01BPF2L0U'],7,3,3,21,66,4.36
['B01C086TLS'],13,7,10,24,46,3.83
['B01C6IV9FS'],0,0,0,0,0,0.0
['B01C8CI0TK'],9,0,0,18,73,4.46
['B01CEFEMFW'],4,4,5,10,77,4.5200000000000005
['B01CK7K5UU'],50,0,0,50,0,2.5
['B01CO2JDLI'],8,0,8,9,75,4.43
['B01COSBDJ2'],0,0,12,0,88,4.760000000000001
['B01D63UU52'],6,6,6,14,68,4.32
['B01D8H09TS'],6,3,5,13,73,4.4399999999999995
['B01D941TNU'],0,0,0,0,0,0.0
['B01E5XNP5Y'],16,0,7,23,54,3.99
['B01E7OPRYS'],0,0,0,0,100,5.0
['B01EK8CF3W'],0,0,0,0,100,5.0
['B01EPZI85Y'],6,6,6,14,68,4.32
['B01ER48934'],39,5,6,6,44,3.1100000000000003
['B01ESK08AO'],0,0,0,0,100,5.0
['B01EVMCXJ8'],0,0,0,0,100,5.0
['B01F4ZOB3C'],0,4,0,0,96,4.88
['B01FGJ5RUM'],57,0,14,0,29,2.44
['B01FGJ5RUM'],57,0,14,0,29,2.44
['B01FJLA8NI'],10,3,4,11,72,4.319999999999999
['B01FJLA9IM'],25,2,3,9,61,3.79
['B01FJLAIG0'],11,4,0,15,70,4.290000000000001
['B01FJLAITC'],3,1,5,13,78,4.62
['B01FNJE7CY'],0,0,0,0,100,5.0
['B01FNJIANQ'],7,7,7,17,62,4.2
['B01FRP1ZD8'],17,0,8,17,58,3.99
['B01FRP27IK'],20,5,8,9,58,3.8
['B01G06G2RW'],6,0,0,11,83,4.65
['B01GKFQCAU'],8,1,3,7,81,4.5200000000000005
['B01GS37NV6'],0,0,0,0,0,0.0
['B01H5YC9BQ'],16,0,2,31,51,4.01
['B01HMK3LBU'],0,0,50,50,0,3.5
['B01HMK3LBU'],0,0,50,50,0,3.5
['B01IBSR18G'],0,0,0,0,100,5.0
['B01IHAHGI8'],8,0,8,25,59,4.27
['B01J8WJTUM'],0,0,0,0,0,0.0
['B01JBMHY9C'],100,0,0,0,0,1.0
['B01JN3RSM2'],0,0,0,0,100,5.0
['B01KUAMCV4'],6,6,8,15,65,4.27
['B01L3D2Q86'],0,0,0,0,0,0.0
['B01L7PORBY'],0,0,0,100,0,4.0
['B01L7WOU6Y'],13,4,7,13,63,4.09
['B01LOMCDE8'],20,0,0,20,60,4.0
['B01LQQHLGC'],16,6,7,16,55,3.88
['B01LYT7U99'],0,0,0,0,0,0.0
['B01LZQGM7I'],0,0,0,0,100,5.0
['B01LZYA9A7'],17,3,4,7,69,4.08
['B01M190G3C'],0,0,0,0,100,5.0
['B01M191GRY'],0,0,25,50,25,4.0
['B01M74D8UQ'],7,0,7,13,73,4.45
['B01MDM3MFI'],0,0,0,0,100,5.0
['B01MRRPPQS'],1,3,4,9,83,4.7
['B01MSTCUY8'],0,0,0,0,0,0.0
['B01MSTDS3N'],20,0,0,0,80,4.2
['B01MU3DZ2V'],0,0,45,22,33,3.88
['B01MU3DZYN'],5,0,14,43,38,4.09
['B01MYTYSMK'],29,14,0,0,57,3.420000000000001
['B01MZZJ1P0'],0,3,3,23,71,4.62
['B01N0L41N7'],0,0,0,9,91,4.91
['B01N1MOFKZ'],0,0,0,0,100,5.0
['B01N1MOJE4'],0,50,0,0,50,3.5
['B01N59LL8R'],0,0,0,0,100,5.0
['B01N59LP5Z'],0,0,0,50,50,4.5
['B01N5QIBZ2'],0,0,0,0,100,5.0
['B01N5X5VBW'],0,0,0,0,100,5.0
['B01N6GVJ87'],33,11,0,22,34,3.1300000000000003
['B01NADEVZI'],0,0,0,0,100,5.0
['B01NCESRJX'],0,0,19,10,71,4.52
['B01NGT6CK8'],0,0,0,0,0,0.0
