ASIN,AMAZON_RATING_1,AMAZON_RATING_2,AMAZON_RATING_3,AMAZON_RATING_4,AMAZON_RATING_5,AMAZON_RATING_AVG
['B002YUF8ZG'],10,3,3,7,77,4.38
['B002ZHJ4MQ'],11,0,11,0,78,4.340000000000001
['B00307RLZC'],10,2,11,10,67,4.220000000000001
['B0030DL3FU'],0,0,12,20,68,4.5600000000000005
['B0030DN1GO'],4,0,4,19,73,4.57
['B0031M9QXQ'],0,11,0,11,78,4.5600000000000005
['B0031M9QZ4'],8,0,8,23,61,4.29
['B0036TGGJQ'],17,7,8,19,49,3.7600000000000002
['B0036TGGVO'],16,6,5,19,54,3.89
['B0036TGGVO'],16,6,5,19,54,3.89
['B0036TGGW8'],7,4,5,21,63,4.29
['B0036TGGW8'],7,4,5,21,63,4.29
['B0036VO632'],4,2,2,9,83,4.65
['B0036Z6GH2'],2,0,2,6,90,4.82
['B00372YKMM'],15,11,15,27,32,3.5
['B0037HPZAI'],4,4,5,13,74,4.49
['B00387G6R8'],15,6,6,16,57,3.9400000000000004
['B003AVN6C0'],22,9,9,17,43,3.5
['B003CKYKME'],13,5,3,20,59,4.07
['B003EO328Q'],14,6,9,18,53,3.9000000000000004
['B003FW9T0M'],12,3,5,13,67,4.2
['B003HIXGVW'],33,0,0,0,67,3.68
['B003INIZMG'],0,0,50,0,50,4.0
['B003L62T86'],9,0,0,29,62,4.35
['B003LD07LU'],5,0,10,11,74,4.49
['B003N8GVUY'],7,3,3,10,77,4.47
['B003NR57BY'],6,4,6,14,70,4.380000000000001
['B003SANWI6'],11,1,6,11,71,4.3
['B003STDQQU'],6,7,9,15,63,4.22
['B003TLY9UO'],26,3,9,18,44,3.5100000000000002
['B003TWO8JA'],4,5,0,0,91,4.6899999999999995
['B003VANRAQ'],0,0,4,16,80,4.76
['B003VITYP0'],0,0,0,0,100,5.0
['B003XEETFW'],36,7,0,7,50,3.2800000000000002
['B003Y5RYNY'],12,6,6,13,63,4.09
['B003YKX6KO'],16,0,17,17,50,3.85
['B003ZJ5B4I'],14,8,7,20,51,3.86
['B00419ZUPQ'],16,10,11,21,42,3.63
['B0041OSAZI'],15,3,5,15,62,4.0600000000000005
['B0041OSQBG'],21,6,5,14,54,3.74
['B0042A7CAA'],5,3,3,9,80,4.5600000000000005
['B0042AG9V8'],4,2,6,7,81,4.590000000000001
['B00434UCDE'],3,6,8,19,64,4.35
['B004433XCQ'],22,0,0,22,56,3.9000000000000004
['B0044YG27I'],0,0,0,4,96,4.96
['B00450DVDY'],8,4,5,19,64,4.2700000000000005
['B0045JRK1O'],13,8,2,14,63,4.0600000000000005
['B00461K1QW'],7,3,6,18,66,4.33
['B00461LT6S'],4,4,4,14,74,4.5
['B0049YQVHE'],14,8,7,15,56,3.91
['B004A9XB6W'],8,5,11,23,53,4.08
['B004AM5RB6'],6,5,8,18,63,4.27
['B004ASW73G'],4,7,13,23,53,4.140000000000001
['B004CRSM48'],4,1,0,6,89,4.75
['B004CRSM4I'],4,2,3,10,81,4.620000000000001
['B004CRSM4S'],4,3,2,10,81,4.610000000000001
['B004CYZ7E4'],7,5,10,17,61,4.2
['B004DYP5OK'],8,0,9,9,74,4.41
['B004E0ZKLQ'],4,5,7,4,80,4.51
['B004EBUXIA'],5,0,2,11,82,4.65
['B004EMSH9Q'],6,4,19,27,44,3.99
['B004FA8NNW'],4,0,5,7,84,4.67
['B004FA8NS2'],0,0,0,50,50,4.5
['B004FOUACA'],0,0,0,25,75,4.75
['B004GLBI7S'],0,0,5,21,74,4.69
['B004GLBI8W'],8,3,7,20,62,4.25
['B004GV0IOW'],2,2,2,7,87,4.75
['B004H1R6JQ'],20,9,11,17,43,3.54
['B004HYGU18'],19,20,18,18,25,3.1
['B004IYJX1G'],7,2,6,12,73,4.42
['B004IYJX20'],10,7,2,11,70,4.24
['B004JKNJ0U'],11,11,4,15,59,4.0
['B004JM1ZG8'],1,0,0,6,93,4.9
['B004K4TEA4'],1,3,3,29,64,4.52
['B004MSN4EK'],21,10,14,14,41,3.4400000000000004
['B004MSN4G8'],20,15,10,20,35,3.3500000000000005
['B004N54Z5E'],0,0,0,0,0,0.0
['B004N625AA'],29,9,8,14,40,3.27
['B004NMF9ES'],13,6,3,14,64,4.1000000000000005
['B004NSUMN0'],12,3,4,9,72,4.26
['B004O0PAKW'],1,4,5,22,68,4.5200000000000005
['B004O8VCDI'],25,0,25,25,25,3.25
['B004PA2B6C'],24,10,8,14,44,3.4400000000000004
['B004Q5H1O8'],11,0,0,0,89,4.5600000000000005
['B004QBUL1C'],3,3,2,9,83,4.66
['B004QM8J8S'],6,3,6,20,65,4.35
['B004RFGALC'],3,4,4,12,77,4.5600000000000005
['B004RI5EHA'],7,4,12,20,57,4.16
['B004RORMF6'],9,3,4,13,71,4.34
['B004SUELBW'],21,10,13,20,36,3.4
['B004U3MQQY'],4,0,2,7,87,4.7299999999999995
['B004U7RUKM'],0,0,0,0,0,0.0
['B004U7RUKM'],0,0,0,0,0,0.0
['B004V4HSCE'],15,8,11,26,40,3.68
['B004VFJ9MK'],12,6,7,17,58,4.03
['B004W2JL2A'],8,3,3,11,75,4.42
['B004WZVO68'],5,4,10,18,63,4.3
['B004Y4XVOK'],8,8,13,26,45,3.92
['B004YPJR06'],61,11,0,0,28,2.23
['B004Z57WKW'],26,9,16,15,34,3.22
['B0050119O0'],1,1,1,11,86,4.8
['B00501PZ7C'],12,6,18,12,52,3.8600000000000003
['B0050SPZMK'],12,10,15,18,45,3.74
['B0051MQM0E'],33,0,0,0,67,3.68
['B0051QQJ44'],6,3,8,21,62,4.3
['B0052L77SA'],4,2,2,16,76,4.58
['B0054JGGGY'],25,13,9,14,39,3.29
['B0054KPK9C'],5,2,1,3,89,4.69
['B00552PMWE'],6,3,14,26,51,4.13
['B0055EIIXW'],13,9,3,12,63,4.03
['B0055Q7BR4'],2,1,5,17,75,4.62
['B00569K7LM'],2,1,2,9,86,4.76
['B0057V2PXM'],0,0,0,0,0,0.0
['B0058FAYQ2'],12,6,7,15,60,4.05
['B0058J1QII'],4,6,8,9,73,4.41
['B0058VIWUG'],6,4,4,12,74,4.44
['B005AT5UZG'],20,2,0,22,56,3.9200000000000004
['B005BRRFAK'],0,11,22,33,34,3.9000000000000004
['B005C2BNJI'],20,5,3,11,61,3.88
['B005F7794S'],5,3,7,9,76,4.4799999999999995
['B005GHTEV8'],8,3,3,11,75,4.42
['B005IHZ938'],0,2,5,13,80,4.71
['B005KSAJXK'],4,4,7,14,71,4.4399999999999995
['B005L38QHA'],17,10,12,13,48,3.65
['B005L39H1O'],22,13,20,15,30,3.18
['B005LIDU5S'],4,5,13,29,49,4.140000000000001
['B005LLBBSS'],0,0,5,24,71,4.66
['B005MNGQ6C'],10,3,3,12,72,4.33
['B005O65JXI'],4,3,6,16,71,4.47
['B005OFL7E4'],11,0,11,0,78,4.340000000000001
['B005OKQUJ6'],12,4,6,14,64,4.140000000000001
['B005SAKW7S'],20,14,10,15,41,3.43
['B005SAKW7S'],20,14,10,15,41,3.43
['B005SCYFRE'],13,6,3,14,64,4.1000000000000005
['B005T63BEM'],5,2,3,9,81,4.590000000000001
['B005WKFHNS'],12,6,17,14,51,3.86
['B005WKHYJI'],22,0,11,11,56,3.79
['B005Z0YNY4'],0,0,0,0,100,5.0
['B005Z1QG2K'],0,0,0,17,83,4.83
['B005ZUZD2K'],7,1,4,24,64,4.37
['B00603QXPM'],2,1,2,8,87,4.77
['B0062KA4VM'],13,7,6,17,57,3.9800000000000004
['B0062L8ZN0'],6,12,6,13,63,4.15
['B0065HOT2W'],8,0,0,8,84,4.6000000000000005
['B0067G1N34'],3,2,3,6,86,4.7
['B0069RXHQW'],8,0,0,16,76,4.52
['B006B1RRSU'],37,0,0,19,44,3.33
['B006CS4QYA'],0,0,23,23,54,4.3100000000000005
['B006CSKMKW'],4,8,14,32,42,4.0
['B006EKJCWM'],5,4,4,10,77,4.5
['B006EWUO22'],3,1,3,8,85,4.71
['B006EWUOL8'],7,1,3,5,84,4.58
['B006I2H04I'],2,2,5,18,73,4.58
['B006I2H0YS'],2,3,5,25,65,4.48
['B006JQZ8MY'],4,7,11,29,49,4.12
['B006QB1RPY'],10,5,5,14,66,4.210000000000001
['B006T0CHLA'],1,2,5,9,83,4.710000000000001
['B006TVQTFE'],17,3,1,13,66,4.08
['B006TZGJGO'],18,9,9,17,47,3.66
['B006TZM6XO'],15,7,7,19,52,3.8600000000000003
['B006X2FBPS'],27,6,6,0,61,3.62
['B006X2FDL0'],14,4,6,15,61,4.05
['B006X2FE1O'],14,5,3,18,60,4.05
['B006X2FEIC'],10,6,7,22,55,4.0600000000000005
['B006Y5UV4A'],9,3,4,14,70,4.33
['B006YG8X9Y'],3,1,2,8,86,4.7299999999999995
['B006ZINK0S'],15,3,6,20,56,3.99
['B0072G4LB4'],3,15,4,15,63,4.199999999999999
['B0074703CM'],8,3,4,11,74,4.4
['B0075WFE3Y'],11,0,22,22,45,3.9
['B0076W9Q4Q'],7,2,7,6,78,4.460000000000001
['B0076W9Q5A'],5,1,2,5,87,4.68
['B0079NRZHC'],12,0,0,25,63,4.27
['B007AJY0ZA'],0,6,0,7,87,4.75
['B007B5S52C'],2,0,2,7,89,4.8100000000000005
['B007C7BEG8'],20,0,0,10,70,4.1000000000000005
['B007C861WO'],1,0,4,5,90,4.83
['B007CCV1TI'],3,2,2,5,88,4.73
['B007CZDS64'],4,0,0,14,82,4.700000000000001
['B007ED7R1G'],12,2,10,14,62,4.12
['B007GWMQNE'],0,0,0,7,93,4.930000000000001
['B007HK0L3C'],12,4,5,13,66,4.17
['B007I51SHY'],0,0,33,0,67,4.34
['B007IL6OR2'],18,8,8,17,49,3.71
['B007IL72CI'],27,14,11,13,35,3.1500000000000004
['B007IL7AKM'],21,8,6,14,51,3.66
['B007KWKYQG'],60,0,0,20,20,2.4
['B007KWKYQG'],60,0,0,20,20,2.4
['B007OWWYRY'],0,0,0,50,50,4.5
['B007QXLSOG'],13,7,12,26,42,3.77
['B007SZ0ECE'],0,0,0,19,81,4.8100000000000005
['B007SZ0EHE'],2,0,1,7,90,4.83
['B007SZ0EOM'],0,0,4,8,88,4.840000000000001
['B007SZ0EOW'],3,0,0,8,89,4.8
['B007T1CTDE'],4,3,4,13,76,4.54
['B007T1YT32'],0,0,0,12,88,4.880000000000001
['B007TG8QRW'],3,2,3,7,85,4.69
['B007VPGK42'],4,2,6,10,78,4.5600000000000005
['B007VQO7GE'],0,0,0,0,100,5.0
['B007W5TV6K'],42,0,8,17,33,2.99
['B007ZW2LY4'],5,2,5,11,77,4.53
['B007ZZE63A'],4,6,2,13,75,4.49
['B0080FFZ8E'],3,3,0,5,89,4.74
